City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,pedro juan caballero,-22.5472,-55.7333,22.55,38,0,3.34,PY,1722818704
110,nova sintra,14.8667,-24.7167,26.68,78,100,2.42,CV,1722818911
111,puerto madryn,-42.7692,-65.0385,11.11,49,88,6.71,AR,1722818718
112,bethel,41.3712,-73.414,23.69,88,100,0.45,US,1722818914
113,lebu,-37.6167,-73.65,10.25,92,100,13.27,CL,1722818915
114,enewetak,11.3474,162.3373,28.89,76,100,4.11,MH,1722818917
115,malvan,16.0667,73.4667,26.34,88,100,5.81,IN,1722818918
116,prado,-17.3411,-39.2208,22.15,88,32,4.03,BR,1722818919
117,calabozo,8.9242,-67.4293,24.35,93,100,2.15,VE,1722818921
118,thunder bay,48.4001,-89.3168,19.99,52,75,1.03,CA,1722818922
119,isafjordur,66.0755,-23.124,8.1,85,100,8.09,IS,1722818923
120,st. john's,47.5649,-52.7093,21.66,95,75,6.69,CA,1722818717
121,juneau,58.3019,-134.4197,27.0,100,20,4.63,US,1722818925
122,quepos,9.4236,-84.1652,26.24,85,100,0.63,CR,1722818926
123,avarua,-21.2078,-159.775,25.03,69,20,3.6,CK,1722818928
124,qaqortoq,60.7167,-46.0333,6.61,80,0,2.74,GL,1722818929
125,mil'kovo,55.6078,37.7956,15.91,72,0,2.61,RU,1722818930
126,lompoc,34.6391,-120.4579,21.58,75,0,5.66,US,1722818931
127,kapuskasing,49.4169,-82.4331,19.05,45,40,5.14,CA,1722818932
128,vilyuysk,63.7553,121.6247,20.63,37,62,5.16,RU,1722818933
129,redencao,-4.2258,-38.7306,21.85,94,46,0.76,BR,1722818934
130,menongue,-14.6585,17.691,12.57,34,4,0.54,AO,1722818935
131,college,64.8569,-147.8028,24.48,53,75,2.06,US,1722818936
132,saipan,15.1355,145.701,29.39,79,20,6.69,MP,1722818937
133,brigantine,39.4101,-74.3646,25.08,90,94,3.75,US,1722818716
134,tura,25.5198,90.2201,25.5,94,100,1.46,IN,1722818940
135,ilulissat,69.2167,-51.1,8.01,81,75,0.0,GL,1722818750
136,yerofey pavlovich,53.9667,121.9667,15.92,99,100,0.42,RU,1722818942
137,hovd,48.0056,91.6419,22.14,35,0,0.41,MN,1722818943
138,cidreira,-30.1811,-50.2056,16.14,100,100,1.99,BR,1722818944
139,marovoay,-16.1,46.6333,18.43,85,17,1.86,MG,1722818945
